id;carte;menus;horaires;adresse
1;Cheese;invoice Cheese;69801;redundant Granite
2;Representative haptic Oklahoma;intuitive Facilitator Books;23598;infrastructures
3;Cross-group Paradigm;microchip orchid Representative;4991;HDD Brunei platforms
4;scalable;Granite;2159;Saudi
5;Rapids Mouse indexing;solution-oriented reboot;64679;Borders invoice Valleys
6;Wooden;input Response virtual;23561;bus Re-engineered Bahraini
7;Brand hard;microchip empower Grocery;35385;transmit Profit-focused next-generation
8;USB Producer USB;Michigan;76916;Steel New
9;Concrete port;definition Advanced;88973;Lead Rest
10;Human Accounts up;Coordinator Licensed;25443;quantify Arizona
